Site_Category,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,Species
MPA,Mean_Density,Pre-Wasting,Wasting Event,2,2,1,0.667,1,ns,Mesocentrotus franciscanus
MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,2,2,0,0.333,0.999,ns,Mesocentrotus franciscanus
MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,2,2,2,1,1,ns,Mesocentrotus franciscanus
Non-MPA,Mean_Density,Pre-Wasting,Wasting Event,21,21,244,0.567,1,ns,Mesocentrotus franciscanus
Non-MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,21,21,214,0.881,1,ns,Mesocentrotus franciscanus
Non-MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,21,21,178,0.294,0.882,ns,Mesocentrotus franciscanus
MPA,Mean_Density,Pre-Wasting,Wasting Event,2,2,1,0.667,1,ns,Strongylocentrotus purpuratus
MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,2,2,1,0.667,1,ns,Strongylocentrotus purpuratus
MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,2,2,3,0.667,1,ns,Strongylocentrotus purpuratus
Non-MPA,Mean_Density,Pre-Wasting,Wasting Event,21,21,242,0.597,1,ns,Strongylocentrotus purpuratus
Non-MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,21,21,237,0.687,1,ns,Strongylocentrotus purpuratus
Non-MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,21,21,217,0.94,1,ns,Strongylocentrotus purpuratus
MPA,Mean_Density,Pre-Wasting,Wasting Event,2,2,4,0.333,0.999,ns,Patiria miniata
MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,2,2,4,0.333,0.999,ns,Patiria miniata
MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,2,2,2,1,1,ns,Patiria miniata
Non-MPA,Mean_Density,Pre-Wasting,Wasting Event,21,21,385,1.06E-05,3.18E-05,****,Patiria miniata
Non-MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,21,21,372,6.42E-05,0.000193,***,Patiria miniata
Non-MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,21,21,179,0.306,0.918,ns,Patiria miniata
MPA,Mean_Density,Pre-Wasting,Wasting Event,2,2,4,0.221,0.663,ns,Pisaster giganteus
MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,2,2,4,0.333,0.999,ns,Pisaster giganteus
MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,2,2,0,0.221,0.663,ns,Pisaster giganteus
Non-MPA,Mean_Density,Pre-Wasting,Wasting Event,21,21,441,1.71E-08,5.13E-08,****,Pisaster giganteus
Non-MPA,Mean_Density,Pre-Wasting,Post-Wasting Recovery,21,21,441,3.09E-08,9.27E-08,****,Pisaster giganteus
Non-MPA,Mean_Density,Wasting Event,Post-Wasting Recovery,21,21,87,0.000534,0.002,**,Pisaster giganteus